country,year,gdp_per_capita,life_expectancy
AFE,2015,1479.61525980543,61.713030523495
AFE,2016,1329.80728479234,62.1679813169199
AFE,2017,1520.21223076132,62.5912750961501
AFE,2018,1538.90167917284,63.3306913582336
AFE,2019,1493.81793829992,63.8572612837042
AFE,2020,1344.10320999294,63.7664840026943
AFE,2021,1522.3933455926,62.9799991857494
AFE,2022,1628.31894446307,64.4870195456608
AFE,2023,1510.74295082335,65.146290855385
AFW,2015,1860.72769393488,56.0383356484355
AFW,2016,1630.03944681121,56.3924518507367
AFW,2017,1574.23056047232,56.6264388112566
AFW,2018,1720.14027955102,57.036976441386
AFW,2019,1798.34068458315,57.1498467555118
AFW,2020,1680.03933212698,57.3644254011107
AFW,2021,1765.9547879785,57.3625716910274
AFW,2022,1796.66863273368,57.9878133945189
AFW,2023,1599.39298291654,58.8557215483276
ARB,2015,6262.04168490023,70.6580123695192
ARB,2016,6012.51244365971,70.8964881164428
ARB,2017,6066.72679100575,71.1128560080647
ARB,2018,6668.2167280195,71.4312997859137
ARB,2019,6638.48541455372,71.8398932674972
ARB,2020,5722.48099531674,70.7265588103862
ARB,2021,6681.70895180141,70.4041144889903
ARB,2022,7931.61789279006,71.8760955992222
ARB,2023,7479.68809103279,72.4446783578531
CSS,2015,14402.4725779389,71.8641021665476
CSS,2016,13297.7443496162,72.0516361154512
CSS,2017,13637.1207205804,72.1731041595093
CSS,2018,13815.3265154798,72.2210854022703
CSS,2019,13938.2023201976,72.1292604830284
CSS,2020,11925.7573950011,71.9394359303317
CSS,2021,13833.3099303464,69.9228107471769
CSS,2022,17355.8366579795,72.8322921090608
CSS,2023,17582.2636796878,73.1716450013098
CEB,2015,12596.9475064791,76.5755119772504
CEB,2016,12874.7406922285,76.9703062304413
CEB,2017,14339.8580613846,76.929788715597
CEB,2018,16245.193864543,76.9764380835075
CEB,2019,16551.8488917344,77.2659141936307
CEB,2020,16595.9352698049,76.0162701269145
CEB,2021,19239.8185020397,74.7232827859077
CEB,2022,19548.6930479638,76.6522987292583
CEB,2023,22699.5351734821,77.8967836493153
EAR,2015,3219.68827173818,69.6305484421664
EAR,2016,3269.98432817621,69.9484837084835
EAR,2017,3505.10621501561,70.2729949393554
EAR,2018,3515.76621670583,70.5486659921504
EAR,2019,3543.32390703605,70.8424064605001
EAR,2020,3250.74974734387,69.8801308490982
EAR,2021,3765.51079786712,68.1790994839633
EAR,2022,4113.00084852322,71.4304552508694
EAR,2023,4313.64804240795,71.7962449795855
EAS,2015,9657.52889618953,75.7926010192992
EAS,2016,9928.67149927477,75.9870166732102
EAS,2017,10526.6771695761,76.0789923585537
EAS,2018,11394.4809001741,76.3914229383171
EAS,2019,11578.2748298091,76.586261929345
EAS,2020,11595.2940923559,76.5434376080231
EAS,2021,13282.7636699758,76.1530093756951
EAS,2022,13084.2848090909,76.6767834400676
EAS,2023,13117.90954458,76.6595183258032
EAP,2015,6589.77384002779,74.9511243848739
EAP,2016,6683.18386893998,75.1559117663434
EAP,2017,7241.92533795167,75.2396714880306
EAP,2018,8045.94448809301,75.57828618156
EAP,2019,8286.43967532333,75.7689690321509
EAP,2020,8391.36838432689,75.6976393295064
EAP,2021,9974.63640001599,75.2781418410849
EAP,2022,10106.8725194012,75.9325409436903
EAP,2023,10125.7668065643,75.8806830895266
TEA,2015,6664.48716537469,74.9777768374826
TEA,2016,6758.74015480622,75.1832269955477
TEA,2017,7323.51023176133,75.2671640185859
TEA,2018,8136.36881824421,75.6101241544348
TEA,2019,8379.40686898285,75.8042877234534
TEA,2020,8485.42025780464,75.7338497054699
TEA,2021,10086.4785164265,75.3009806060199
TEA,2022,10220.360503609,75.9610347461336
TEA,2023,10239.674334039,75.9085643603807
EMU,2015,34467.5766635134,81.5193991217567
EMU,2016,35232.2695661265,81.9075874931284
EMU,2017,37237.5363554552,81.8840085594743
EMU,2018,40096.712205156,82.0027602577719
EMU,2019,39212.5111497975,82.2804211551829
EMU,2020,38234.5335889285,81.4873571657503
EMU,2021,42967.2551656434,81.5839330415712
EMU,2022,41446.4322827569,81.6212237452298
EMU,2023,45068.7010930397,82.1920076156423
ECS,2015,22676.9494565466,77.331142300321
ECS,2016,22496.7758500912,77.6815195796899
ECS,2017,23780.6167949133,77.8993049650609
ECS,2018,25362.6758114579,78.0322195043255
ECS,2019,24975.4166431436,78.3042683990405
ECS,2020,24121.4791035767,77.1757484533311
ECS,2021,27591.4108786977,76.7287266936821
ECS,2022,27782.8616206223,77.8361130850842
ECS,2023,29835.7180523654,78.3870183177038
ECA,2015,6282.95418433325,73.7582707874779
ECA,2016,5977.68550933388,74.0349273934992
ECA,2017,6112.70276991575,74.4074945113083
ECA,2018,5952.2500299061,74.5976698113306
