gdp_per_capita,life_expectancy
1479.61525980543,61.713030523495
1329.80728479234,62.1679813169199
1520.21223076132,62.5912750961501
1538.90167917284,63.3306913582336
1493.81793829992,63.8572612837042
1344.10320999294,63.7664840026943
1522.3933455926,62.9799991857494
1628.31894446307,64.4870195456608
1510.74295082335,65.146290855385
1860.72769393488,56.0383356484355
1630.03944681121,56.3924518507367
1574.23056047232,56.6264388112566
1720.14027955102,57.036976441386
1798.34068458315,57.1498467555118
1680.03933212698,57.3644254011107
1765.9547879785,57.3625716910274
1796.66863273368,57.9878133945189
1599.39298291654,58.8557215483276
6262.04168490023,70.6580123695192
6012.51244365971,70.8964881164428
6066.72679100575,71.1128560080647
6668.2167280195,71.4312997859137
6638.48541455372,71.8398932674972
5722.48099531674,70.7265588103862
6681.70895180141,70.4041144889903
7931.61789279006,71.8760955992222
7479.68809103279,72.4446783578531
14402.4725779389,71.8641021665476
13297.7443496162,72.0516361154512
13637.1207205804,72.1731041595093
13815.3265154798,72.2210854022703
13938.2023201976,72.1292604830284
11925.7573950011,71.9394359303317
13833.3099303464,69.9228107471769
17355.8366579795,72.8322921090608
17582.2636796878,73.1716450013098
12596.9475064791,76.5755119772504
12874.7406922285,76.9703062304413
14339.8580613846,76.929788715597
16245.193864543,76.9764380835075
16551.8488917344,77.2659141936307
16595.9352698049,76.0162701269145
19239.8185020397,74.7232827859077
19548.6930479638,76.6522987292583
22699.5351734821,77.8967836493153
3219.68827173818,69.6305484421664
3269.98432817621,69.9484837084835
3505.10621501561,70.2729949393554
3515.76621670583,70.5486659921504
3543.32390703605,70.8424064605001
3250.74974734387,69.8801308490982
3765.51079786712,68.1790994839633
4113.00084852322,71.4304552508694
4313.64804240795,71.7962449795855
9657.52889618953,75.7926010192992
9928.67149927477,75.9870166732102
10526.6771695761,76.0789923585537
11394.4809001741,76.3914229383171
11578.2748298091,76.586261929345
11595.2940923559,76.5434376080231
13282.7636699758,76.1530093756951
13084.2848090909,76.6767834400676
13117.90954458,76.6595183258032
6589.77384002779,74.9511243848739
6683.18386893998,75.1559117663434
7241.92533795167,75.2396714880306
8045.94448809301,75.57828618156
8286.43967532333,75.7689690321509
8391.36838432689,75.6976393295064
9974.63640001599,75.2781418410849
10106.8725194012,75.9325409436903
10125.7668065643,75.8806830895266
6664.48716537469,74.9777768374826
6758.74015480622,75.1832269955477
7323.51023176133,75.2671640185859
8136.36881824421,75.6101241544348
8379.40686898285,75.8042877234534
8485.42025780464,75.7338497054699
10086.4785164265,75.3009806060199
10220.360503609,75.9610347461336
10239.674334039,75.9085643603807
34467.5766635134,81.5193991217567
35232.2695661265,81.9075874931284
37237.5363554552,81.8840085594743
40096.712205156,82.0027602577719
39212.5111497975,82.2804211551829
38234.5335889285,81.4873571657503
42967.2551656434,81.5839330415712
41446.4322827569,81.6212237452298
45068.7010930397,82.1920076156423
22676.9494565466,77.331142300321
22496.7758500912,77.6815195796899
23780.6167949133,77.8993049650609
25362.6758114579,78.0322195043255
24975.4166431436,78.3042683990405
24121.4791035767,77.1757484533311
27591.4108786977,76.7287266936821
27782.8616206223,77.8361130850842
29835.7180523654,78.3870183177038
6282.95418433325,73.7582707874779
5977.68550933388,74.0349273934992
6112.70276991575,74.4074945113083
5952.2500299061,74.5976698113306
6020.63670154835,74.821186588313
5733.41761868436,73.5589573506665
6623.35137698536,72.8874329657208
7247.60981221236,74.5786223390478
8571.4101866164,74.7987152767476
8004.56641973475,73.3424651216518
7653.97807124132,73.6922376190485
8560.70709859886,74.134211186205
8890.61596620106,74.3004387516548
9034.43209100317,74.5939674450224
8456.58174660206,73.1523738187621
9987.98864443054,72.1539007720004
11410.4415323006,74.1916033602425
12106.9240912296,74.7300564025194
30769.090644109,80.5708966220669
31462.4341209885,80.9530808081627
33391.9679020533,80.9303097853099
36054.3954466385,81.0317510064821
35374.6443827131,81.3194524901834
34698.4032089427,80.4414754678551
39214.3660784805,80.3071964400875
37962.8295010744,80.7129818383208
41392.0743803078,81.4114503796876
1815.53207965872,60.7449931085508
1635.50703091345,60.9861836667017
1706.44326854085,61.2296826870124
1823.31230335011,61.7825083062786
1893.88268968493,62.1379545505037
1685.09795088858,62.0663682854031
1757.35640223069,61.6086810439385
1897.94911362527,62.702271566254
1722.02197897444,63.3499447771075
917.999801798178,61.561793936137
900.498036025473,62.0038083727554
939.745532135346,62.3151956659401
977.345900504428,62.798544258222
984.570661558163,63.0898004183278
968.074022023344,63.0726319690016
1049.99987506014,62.5313735700637
1111.39185793698,63.8404458555462
1140.19606998258,64.7159054177481
36571.192904688,79.5243746239928
37055.7538854894,79.7243724353495
38782.9175406853,79.8538410660347
41079.7872699609,79.9668020572923
41351.4989053257,80.1994382042117
40219.1360185556,79.2043516940348
45211.9410454249,78.8000564470189
46655.1648590412,79.4313242226593
48708.4624685822,80.1500151183354
5572.51411128581,73.0330191420732
5560.96329446574,73.259443703247
6080.71326559023,73.4860165794436
6429.48761275569,73.7952368045971
6517.95432240943,74.0315931724484
6236.68120499036,73.29542288776
7366.1147382175,71.974522937271
7745.39306575372,74.251561351988
7964.73675347128,74.5209699459191
4494.44119703311,70.3718991784647
4467.69831583104,70.6142743615375
4853.16565473343,70.8311670216616
5111.82139451166,71.153328289214
5169.58132257986,71.3942743859044
4932.64621363092,70.7491565630532
5764.25548879941,69.6682599282971
6043.77728725502,71.6779222363782
6157.39821498709,72.0008209186498
1947.83629776554,60.2944946354402
1790.52401341516,60.5761664527178
1804.57402176769,60.818392907263
1869.41970744766,61.0740542759518
