,,gdp_per_capita,health_exp_gdp,life_expectancy,infant_mortality,population
EMU,2021,42967.2551656434,11.235856066116,81.5839330415712,3.05787567846989,347207191.0
EMU,2022,41446.4322827569,10.7656610173112,81.6212237452298,3.02990230182414,348700885.0
EMU,2023,45068.7010930397,,82.1920076156423,3.00512301199409,350292725.0
EMU,2024,46724.355622795,,,,351125804.0
ECS,2015,22676.9494565466,9.28107151869154,77.331142300321,8.0,907676898.0
ECS,2016,22496.7758500912,9.32814781934217,77.6815195796899,7.6,911765648.0
ECS,2017,23780.6167949133,9.23345605676748,77.8993049650609,7.4,915290996.0
ECS,2018,25362.6758114579,9.25729160309247,78.0322195043255,7.2,918947897.0
ECS,2019,24975.4166431436,9.35631287074489,78.3042683990405,7.0,922218554.0
ECS,2020,24121.4791035767,10.5098507886557,77.1757484533311,6.9,923973838.0
ECS,2021,27591.4108786977,10.4078733502973,76.7287266936821,6.7,924702975.0
ECS,2022,27782.8616206223,9.7579376244363,77.8361130850842,6.6,925061269.0
ECS,2023,29835.7180523654,,78.3870183177038,6.6,925640799.0
ECS,2024,31392.581963732,,,,928465742.0
ECA,2015,6282.95418433325,4.7021024459818,73.7582707874779,14.1877653545582,240232789.0
ECA,2016,5977.68550933388,4.87922327821657,74.0349273934992,13.5205168748911,242410814.0
ECA,2017,6112.70276991575,4.78158233818152,74.4074945113083,13.0813559660252,244533821.0
ECA,2018,5952.2500299061,4.80504703093047,74.5976698113306,12.73597911055,246659127.0
ECA,2019,6020.63670154835,4.99561710885262,74.821186588313,12.463226083948,248863066.0
ECA,2020,5733.41761868436,5.54432585385682,73.5589573506665,12.1551526460306,250660609.0
ECA,2021,6623.35137698536,5.7178475812598,72.8874329657208,11.9176977604447,252189631.0
ECA,2022,7247.60981221236,4.71080839331069,74.5786223390478,11.7494303786583,250840400.0
ECA,2023,8571.4101866164,,74.7987152767476,11.8860410451798,249053262.0
ECA,2024,9668.56270854153,,,,250485944.0
TEC,2015,8004.56641973475,5.22770731157473,73.3424651216518,11.1734339546534,453811483.0
TEC,2016,7653.97807124132,5.3401503689193,73.6922376190485,10.600246224994,456099634.0
TEC,2017,8560.70709859886,5.34595138188035,74.134211186205,10.2361551385643,458235497.0
TEC,2018,8890.61596620106,5.35989560017933,74.3004387516548,9.9385404650361,460205526.0
TEC,2019,9034.43209100317,5.5762762818063,74.5939674450224,9.72256083968197,462219596.0
TEC,2020,8456.58174660206,6.77371190582262,73.1523738187621,9.46628151990603,463151657.0
TEC,2021,9987.98864443054,6.45749007322387,72.1539007720004,9.27095003536383,463426293.0
TEC,2022,11410.4415323006,6.08316962254762,74.1916033602425,9.12374934703656,461268322.0
TEC,2023,12106.9240912296,,74.7300564025194,9.17673225325607,458932506.0
TEC,2024,13257.56545104,,,,459954508.0
EUU,2015,30769.090644109,9.95794688978061,80.5708966220669,3.52981745343064,443793218.0
EUU,2016,31462.4341209885,9.95037914978453,80.9530808081627,3.46963134457982,444676652.0
EUU,2017,33391.9679020533,9.8978413703562,80.9303097853099,3.41215159530482,445321060.0
EUU,2018,36054.3954466385,9.87397794431498,81.0317510064821,3.34760221362294,446329890.0
EUU,2019,35374.6443827131,9.93824507629029,81.3194524901834,3.25836400565364,446910453.0
EUU,2020,34698.4032089427,10.8635020267304,80.4414754678551,3.21949239060874,446870959.0
EUU,2021,39214.3660784805,10.8699478690085,80.3071964400875,3.21384433385185,446227358.0
EUU,2022,37962.8295010744,10.3657237718615,80.7129818383208,3.18683214828156,447703403.0
EUU,2023,41392.0743803078,,81.4114503796876,3.17037478192545,449425965.0
EUU,2024,43145.1566930223,,,,450185396.0
FCS,2015,1815.53207965872,4.53219807696183,60.7449931085508,56.3293940413087,890869511.0
FCS,2016,1635.50703091345,4.86144213921573,60.9861836667017,55.4658366443468,910836458.0
FCS,2017,1706.44326854085,4.8001402448231,61.2296826870124,54.7335350981898,931222867.0
FCS,2018,1823.31230335011,4.49858072180743,61.7825083062786,52.3495271634906,951851595.0
FCS,2019,1893.88268968493,4.42491781012373,62.1379545505037,51.0904174534603,973035228.0
FCS,2020,1685.09795088858,4.89989569143417,62.0663682854031,49.4971960235411,994901090.0
FCS,2021,1757.35640223069,5.16206490737885,61.6086810439385,48.4897828488366,1016906998.0
FCS,2022,1897.94911362527,4.52034522651985,62.702271566254,48.5154059942791,1036390026.0
FCS,2023,1722.02197897444,,63.3499447771075,45.9686669748043,1057033168.0
FCS,2024,1571.8004320986,,,,1081767572.0
HPC,2015,917.999801798178,5.02278704340959,61.561793936137,51.6687761264626,735429414.0
HPC,2016,900.498036025473,4.92836437124015,62.0038083727554,50.2269860030065,756895035.0
HPC,2017,939.745532135346,4.69032068721239,62.3151956659401,49.2879045338745,779389964.0
HPC,2018,977.345900504428,4.49476830122738,62.798544258222,47.6038261321914,802020674.0
HPC,2019,984.570661558163,4.60641781189448,63.0898004183278,46.5290188133556,824649053.0
HPC,2020,968.074022023344,4.98365290750334,63.0726319690016,44.9638438232595,847743308.0
HPC,2021,1049.99987506014,4.93792863353534,62.5313735700637,43.9350670309859,870930036.0
HPC,2022,1111.39185793698,4.78012671134464,63.8404458555462,44.0104847065421,893906294.0
HPC,2023,1140.19606998258,,64.7159054177481,41.3600560328369,917304254.0
HPC,2024,1202.76979412349,,,,941413026.0
HIC,2015,36571.192904688,12.0483984683967,79.5243746239928,4.9,1366013616.0
HIC,2016,37055.7538854894,12.2221051459278,79.7243724353495,4.7,1374284415.0
HIC,2017,38782.9175406853,12.1347213366664,79.8538410660347,4.6,1380319892.0
HIC,2018,41079.7872699609,12.0481157930597,79.9668020572923,4.4,1385103279.0
HIC,2019,41351.4989053257,12.2558567639943,80.1994382042117,4.3,1389779202.0
HIC,2020,40219.1360185556,13.7647316332356,79.2043516940348,4.3,1393490142.0
HIC,2021,45211.9410454249,13.1255942028907,78.8000564470189,4.2,1391839631.0
HIC,2022,46655.1648590412,12.5210802528727,79.4313242226593,4.2,1398530204.0
HIC,2023,48708.4624685822,,80.1500151183354,4.1,1408764584.0
HIC,2024,50443.9276011316,,,,1417871275.0
IBD,2015,5572.51411128581,5.37395549923702,73.0330191420732,21.8814857382177,4676922961.0
IBD,2016,5560.96329446574,5.40269190932112,73.259443703247,20.891497644478,4721753602.0
IBD,2017,6080.71326559023,5.41780827568569,73.4860165794436,19.8921923488784,4765998583.0
IBD,2018,6429.48761275569,5.38293639349259,73.7952368045971,19.5785117970087,4807240463.0
IBD,2019,6517.95432240943,5.45720802156376,74.0315931724484,18.9055225641147,4845361414.0
IBD,2020,6236.68120499036,5.81889117609436,73.29542288776,18.5928735549577,4878606096.0
IBD,2021,7366.1147382175,5.69735415583245,71.974522937271,18.1460778280348,4905534420.0
IBD,2022,7745.39306575372,5.55008061997615,74.251561351988,17.7571168549093,4928522353.0
IBD,2023,7964.73675347128,,74.5209699459191,17.3059259032933,4952554878.0
IBD,2024,8253.92125275536,,,,4979720059.0
IBT,2015,4494.44119703311,5.26669123979061,70.3718991784647,34.3036394858353,6281111240.0
IBT,2016,4467.69831583104,5.29062794382956,70.6142743615375,33.2297504955127,6360340293.0
IBT,2017,4853.16565473343,5.3041119055262,70.8311670216616,32.4046382256703,6440236993.0
IBT,2018,5111.82139451166,5.25673685186666,71.153328289214,31.7816732523862,6518316997.0
IBT,2019,5169.58132257986,5.32515364747832,71.3942743859044,31.1087124272407,6594502842.0
IBT,2020,4932.64621363092,5.67793303994023,70.7491565630532,30.768023101735,6666779721.0
IBT,2021,5764.25548879941,5.59005565304359,69.6682599282971,30.3354112438244,6732972939.0
IBT,2022,6043.77728725502,5.44657164384059,71.6779222363782,30.1389107010954,6795050443.0
IBT,2023,6157.39821498709,,72.0008209186498,29.1378116819422,6858864199.0
IBT,2024,6340.63327027503,,,,6926456321.0
IDB,2015,1947.83629776554,3.50988877159275,60.2944946354402,61.0172110589809,567234056.0
IDB,2016,1790.52401341516,3.55488565840022,60.5761664527178,59.7387697723443,578463670.0
IDB,2017,1804.57402176769,3.60419078175519,60.818392907263,58.4150306171814,590024074.0
IDB,2018,1869.41970744766,3.27728307690544,61.0740542759518,56.8953832803911,601951913.0
IDB,2019,1878.13375771486,3.29103592320245,61.3259973798573,55.4405844429813,614017319.0
IDB,2020,1735.42504387769,3.65014026242974,60.8180066140619,53.9202572114668,626440308.0
IDB,2021,1857.19734593257,4.01645052641121,60.876535738179,52.4355453327047,639196319.0
IDB,2022,1962.52152270807,4.02996297858208,62.1288641416852,50.9914254908524,651895919.0
IDB,2023,1729.91982930792,,62.4621643327349,49.5417880591402,664395892.0
IDB,2024,1565.83627113068,,,,676957651.0
IDX,2015,1023.94411088699,4.4724324698185,63.8821179927396,48.3346454118107,1036954223.0
IDX,2016,1058.23347491943,4.28518581870696,64.3101407903027,47.155152334448,1060123021.0
IDX,2017,1116.07416051941,4.09104706676024,64.6098588988294,46.2502667775613,1084214336.0
IDX,2018,1160.50418891873,3.97384021999127,65.172890099339,43.9276981822977,1109124621.0
IDX,2019,1194.07215693518,3.97315097159211,65.5828691146811,42.7511955922775,1135124109.0
IDX,2020,1179.86645615956,4.14955694023896,65.411479068422,41.3770079139356,1161733317.0
IDX,2021,1254.09572124934,4.23491844689983,64.8764634139942,40.5009461575421,1188242200.0
IDX,2022,1330.40253875948,4.12458565126573,66.3600605315493,40.5319767556079,1214632171.0
IDX,2023,1319.43444336952,,67.0538318903115,38.3197770437326,1241913429.0
IDX,2024,1387.92937311476,,,,1269778611.0
IDA,2015,1350.62840308024,3.97662751842491,62.6135498483383,52.9565538330763,1604188279.0
IDA,2016,1316.75105884171,3.93247596582188,62.9919508459629,51.6859645921813,1638586691.0
IDA,2017,1358.71074719415,3.86181474640687,63.2736954244909,50.59489119295,1674238410.0
IDA,2018,1409.89867481954,3.64705127843516,63.7309311828708,48.5145941529772,1711076534.0
IDA,2019,1434.20463760134,3.65488361088858,64.0885399952044,47.1954776104743,1749141428.0
IDA,2020,1374.49201596905,3.92542716661687,63.8022749850664,45.736384443873,1788173625.0
IDA,2021,1465.04691576142,4.13670696339679,63.4773799318061,44.6460203206208,1827438519.0
IDA,2022,1551.17381360191,4.08217377450094,64.8822902939527,44.1536280844604,1866528090.0
IDA,2023,1458.94469071737,,65.4535223135408,42.1951603422233,1906309321.0
IDA,2024,1441.90853142035,,,,1946736262.0
LTE,2015,8325.54664463079,5.45417976345946,76.0763839787839,9.79186098217097,2256276122.0
LTE,2016,8290.74162992553,5.53887738948853,76.293092854666,9.3191959384053,2271028438.0
LTE,2017,9131.37216704566,5.63730695685838,76.4176788737102,8.72997585765813,2286095306.0
LTE,2018,9959.6655103541,5.61712622605218,76.7784257230861,8.42571688686783,2298652685.0
LTE,2019,10112.2012892771,5.77394271988581,76.9982668440355,8.16102174023508,2309164437.0
LTE,2020,9869.54019951006,6.12303976552995,76.6937147799405,8.01259746974431,2316461820.0
LTE,2021,11755.4245358535,5.91048493178983,76.306088329774,7.84904402519256,2320449542.0
LTE,2022,12280.1075352976,5.82776755014006,76.9545802485126,7.74327168139762,2324125644.0
LTE,2023,12422.7253981593,,77.130120543495,7.5706602286046,2326636900.0
LTE,2024,12843.3344406811,,,,2328890789.0
LCN,2015,8758.631461288,7.79627993027649,74.7432221893097,15.6,618868462.0
